Contig	name	Host_species	Location	Orientation	Best_viral_match	evalue NR	evalue PFAM	Element_name	virus_type	Virus	genus	identity	related gene product, total length		X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11		X12	X13	X14
AAGE02024228	n.s.	(Aedes aegypti)	4748-5132	+	EU373657	2.00E-37	5.20E-22	5876-6262	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02024228.1	4750	5132	3.35E-37	AHA42511.1	158	+	58.9	129	51	1	371	500	AHA42511.1 acc|GENBANK|AHA42511.1|NEIGHBOR|KF468772|polymerase protein [Chandipura virus] acc=AHA42511.1 taxid=11272	
AAGE02028516	n.s.	(Aedes aegypti)	19322-21042	+	AJ810084	1.00E-114	1.20E-46	7259-8998	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02028516.1	19312	21057	2.84E-172	UYL94385.1	594	+	51.9	592	274	4	860	1451	UYL94385.1 acc|GENBANK|UYL94385.1|GENBANK|ON955142|putative RNA-dependent RNA polymerase [Hattula rhabdovirus] acc=UYL94385.1 taxid=2980578	
AAGE02029253	n.s.	(Aedes aegypti)	49623-50666	+	FJ985749	4.00E-20	1.30E-39	3237-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02029253.1	49495	50996	1.51E-90	WCD44313.1	310	+	34.6	517	313	7	7	516	WCD44313.1 acc|GENBANK|WCD44313.1|GENBANK|ON955240|putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 taxid=2980629	
AAGE02029253	n.s.	(Aedes aegypti)	12615-13760	+	AY614720	1.00E-22	2.90E-35	3129-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02029253.1	12614	13913	1.11E-90	WCD44313.1	311	+	36.6	435	272	2	20	453	WCD44313.1 acc|GENBANK|WCD44313.1|GENBANK|ON955240|putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 taxid=2980629	
AAGE02029253	n.s.	(Aedes aegypti)	1631-2845	+	D26175	6.00E-25	6.90E-38	3129-4340	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02029253.1	1630	2945	2.37E-89	WCD44313.1	307	+	36.7	444	270	4	20	459	WCD44313.1 acc|GENBANK|WCD44313.1|GENBANK|ON955240|putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 taxid=2980629	
AAGU03013549	n.s.	African elephant	51509-53236			0	1.30E-112	330-1841	NA	ssDNA	Dependovirus	NA	NA	NA	AAGU03013549.1	51508	53245	1.21E-229	YP_068408.1	714	+	60.4	588	223	5	2	589	YP_068408.1 acc|REFSEQ|YP_068408.1|REFSEQ|NC_006152|DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1 taxid=82300	
AAGU03015682	n.s.	African Elephant [14]	8568-9689	-	AY374520	2.00E-25	1.40E-32	360-1127	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03015682.1	8588	9518	7.78E-78	YP_009508485.1	268	-	44.9	321	166	3	43	364	YP_009508485.1 acc|REFSEQ|YP_009508485.1|REFSEQ|NC_039014|N [Southwest carpet python virus] acc=YP_009508485.1 taxid=2016402	
AAGU03021424	n.s.	(Loxodonta African)	11188-12264	-	DQ680833	4.00E-12	6.30E-13	477-1040	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03021424.1	11193	12078	1.12E-51	YP_009508485.1	192	-	38.5	325	169	8	41	364	YP_009508485.1 acc|REFSEQ|YP_009508485.1|REFSEQ|NC_039014|N [Southwest carpet python virus] acc=YP_009508485.1 taxid=2016402	
AAGU03024746	n.s.	(Loxodonta African)	17448-18540	+	DQ680833	2.00E-16	9.60E-23	633-1019	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03024746.1	17651	18437	6.40E-64	YP_009508485.1	228	+	44.6	271	141	3	50	321	YP_009508485.1 acc|REFSEQ|YP_009508485.1|REFSEQ|NC_039014|N [Southwest carpet python virus] acc=YP_009508485.1 taxid=2016402	
AAGU03027606	n.s.	(Loxodonta African)	35816 -36577	+	FJ620690	2.00E-37	1.70E-37	258-1046	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03027606.1	35764	36685	4.04E-41	YP_009505423.1	162	+	37.4	310	185	7	75	379	YP_009505423.1 acc|REFSEQ|YP_009505423.1|REFSEQ|NC_038268|nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1 taxid=1715295	
AAGU03043349	n.s.	(Loxodonta African)	106085-107223	-	FJ169441	4.00E-39	1.10E-32	291-1037	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03043349.1	106094	107085	1.41E-45	YP_009505423.1	174	-	35	337	210	5	42	376	YP_009505423.1 acc|REFSEQ|YP_009505423.1|REFSEQ|NC_038268|nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1 taxid=1715295	
AAGU03049012	n.s.	(Loxodonta African)	14966-15685	-	DQ680833	2.00E-16	9.70E-23	633-1019	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03049012.1	14965	15475	2.60E-31	YP_009508479.1	132	-	40.9	176	97	2	50	225	YP_009508479.1 acc|REFSEQ|YP_009508479.1|REFSEQ|NC_039	
AAQR01574020	n.s.	Small-eared galago (Otolemur garnetti)	2755-3258	-	FJ792853	2.00E-17	1.20E-18	534-1022	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAQR01574020.1	2622	3501	1.07E-40	YP_010085025.1	159	-	34.7	294	179	6	70	352	YP_010085025.1 acc|REFSEQ|YP_010085025.1|REFSEQ|NC_055169|nucleoprotein [Wuhan sharpbelly bornavirus] acc=YP_010085025.1 taxid=2116489	
AAWU01016427	n.s.	Southern house mosquito	47658-48827	+	AF523194	5.00E-24	8.40E-47	223-1314	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAWU01016427.1	47551	48860	3.49E-205	BDV27057.1	639	+	71.1	436	125	1	36	471	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	
ABDC01288276	n.s.	(Microcebus murinus)	14606-14946	-	FJ169441	2.00E-13	N/A	1893-2261	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABDC01288276.1	14605	14946	2.27E-23	YP_009055061.1	101	-	48	123	55	2	0	123	YP_009055061.1 acc|REFSEQ|YP_009055061.1|REFSEQ|NC_024778|matrix protein [Loveridges garter snake virus 1] acc=YP_009055061.1 taxid=1881951	
ABDC01288276	n.s.	Grey mouse lemur	15251-16019	-	FJ169440	1.00E-31	1.70E-29	78-839	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABDC01288276.1	15250	16142	4.04E-40	YP_010798895.1	157	-	37.6	303	182	4	4	305	YP_010798895.1 acc|REFSEQ|YP_010798895.1|REFSEQ|NC_076533|nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1 taxid=2817571	
ABJB010059001	n.s.	(Ixodes scapularis)	41-724	-	AY840978	1.00E-35	2.50E-52	634-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010059001.1	13	733	5.76E-81	UXX19015.1	260	-	52.7	241	113	1	198	439	UXX19015.1 acc|GENBANK|UXX19015.1|GENBANK|ON408172|nucleoprotein [Tahe rhabdovirus 3] acc=UXX19015.1 taxid=2983976	
ABJB010108447	n.s.	(Ixodes scapularis)	4353-5566	-	D10759	3.00E-58	3.80E-13	1589-2656	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010108447.1	4275	5789	1.48E-172	YP_010086238.1	593	-	62.1	514	133	3	499	960	YP_010086238.1 acc|REFSEQ|YP_010086238.1|REFSEQ|NC_055432|L [Blacklegged tick phlebovirus 3] acc=YP_010086238.1 taxid=1844920	
ABJB010116450	n.s.	(Ixodes scapularis)	644-1204	-	EF201818	2.00E-09	4.80E-20	47-601	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010116450.1	643	1837	1.68E-128	AII01802.1	394	-	49.2	459	165	5	0	452	AII01802.1 acc|GENBANK|AII01802.1|GENBANK|KM048314|N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1 taxid=1526521	
ABJB010142368	n.s.	(Ixodes scapularis)	141-1115	+	AY074804	4.00E-71	7.30E-44	5582-6553	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010142368.1	1	1115	2.78E-159	UXX19018.1	496	+	66.6	374	121	2	265	637	UXX19018.1 acc|GENBANK|UXX19018.1|GENBANK|ON408172|polymerase [Tahe rhabdovirus 3] acc=UXX19018.1 taxid=2983976	
ABJB010284780	n.s.	(Ixodes scapularis)	8704-9246	-	EF201818	43-05	1.30E-10	185-520	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010284780.1	8618	9811	1.59E-95	UXX19201.1	320	-	47.5	425	191	8	5	425	UXX19201.1 acc|GENBANK|UXX19201.1|GENBANK|ON408151|nucleocapsid protein [Onega tick phlebovirus] acc=UXX19201.1 taxid=2789411	
ABJB010284780	n.s.	(Ixodes scapularis)	10845-11495	-	AF504294	7.00E-15	1.40E-11	965-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB010284780.1	10802	11768	4.22E-131	AII01798.1	427	-	63.7	322	117	0	193	515	AII01798.1 acc|GENBANK|AII01798.1|GENBANK|KJ746878|N protein [South Bay virus] acc=AII01798.1 taxid=1526514	
ABJB010430317	n.s.	(Ixodes scapularis)	553-1791	-	EF612701	1.00E-52	1.90E-77	142-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010430317.1	525	1842	8.67E-159	UXX19015.1	468	-	51.8	440	210	2	0	439	UXX19015.1 acc|GENBANK|UXX19015.1|GENBANK|ON408172|nucleoprotein [Tahe rhabdovirus 3] acc=UXX19015.1 taxid=2983976	
ABJB010440982	n.s.	(Ixodes scapularis)	3146-4372	-	EF612701	1.00E-42	1.10E-75	118-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010440982.1	3121	4432	3.38E-159	UXX19015.1	499	-	57	440	184	2	0	438	UXX19015.1 acc|GENBANK|UXX19015.1|GENBANK|ON408172|nucleoprotein [Tahe rhabdovirus 3] acc=UXX19015.1 taxid=2983976	
ABJB010460423	n.s.	(Ixodes scapularis)	8633-9634	-	D10759	3.00E-29	3.90E-08	1208-2248	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010460423.1	8623	10911	2.42E-285	WIM33125.1	934	-	63.3	790	261	10	0	788	WIM33125.1 acc|GENBANK|WIM33125.1|GENBANK|OQ185282|RNA-dependent RNA polymerase [Onega tick phlebovirus] acc=WIM33125.1 taxid=2789411	
ABJB010465412	n.s.	(Ixodes scapularis)	3-1226	+	EU373658	8.00E-91	4.90E-33	7523-8695	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010465412.1	2	1734	9.95E-220	UXX19018.1	669	+	59.5	593	216	8	944	1528	UXX19018.1 acc|GENBANK|UXX19018.1|GENBANK|ON408172|polymerase [Tahe rhabdovirus 3] acc=UXX19018.1 taxid=2983976	
ABJB010470763	n.s.	(Ixodes scapularis)	553-1110	-	NA	NA	NA	50-604	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010470763.1	366	1266	5.94E-128	YP_010086239.1	381	-	64.8	310	99	2	133	443	YP_010086239.1 acc|REFSEQ|YP_010086239.1|REFSEQ|NC_055433|nucleocapsid protein [Norway phlebovirus 1] acc=YP_010086239.1 taxid=2034330	
ABJB010495030	n.s.	(Ixodes scapularis)	1303-1845	-	AF504294	3.00E-16	1.20E-09	953-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB010495030.1	1164	2805	1.50E-305	AII01798.1	867	-	77.1	547	124	1	0	546	AII01798.1 acc|GENBANK|AII01798.1|GENBANK|KJ746878|N protein [South Bay virus] acc=AII01798.1 taxid=1526514	
ABJB010497108	n.s.	(Ixodes scapularis)	118-681	-	M33551	1.00E-60	3.20E-21	47-604	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010497108.1	2	930	9.38E-162	AII01802.1	468	-	77.9	317	62	2	174	491	AII01802.1 acc|GENBANK|AII01802.1|GENBANK|KM048314|N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1 taxid=1526521	
ABJB010497283	n.s.	Blacklegged tick	5-1402	+	M86624	2.00E-18	2.50E-09	167-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB010497283.1	1	1540	0	AII01798.1	1004	+	97.1	513	15	0	34	547	AII01798.1 acc|GENBANK|AII01798.1|GENBANK|KJ746878|N protein [South Bay virus] acc=AII01798.1 taxid=1526514	
ABJB010498712	n.s.	(Ixodes scapularis)	800-1372	-	AF504294	3.00E-15	1.70E-10	923-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB010498712.1	661	2145	2.85E-281	AII01798.1	784	-	77	495	114	0	52	547	AII01798.1 acc|GENBANK|AII01798.1|GENBANK|KJ746878|N protein [South Bay virus] acc=AII01798.1 taxid=1526514	
ABJB010532089	n.s.	(Ixodes scapularis)	4-2151	-	EU373657	7.00E-177	2.20E-140	4832-6913	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010532089.1	3	2286	0	UXX19018.1	1134	-	70.1	762	227	1	0	762	UXX19018.1 acc|GENBANK|UXX19018.1|GENBANK|ON408172|polymerase [Tahe rhabdovirus 3] acc=UXX19018.1 taxid=2983976	
ABJB010547597	n.s.	(Ixodes scapularis)	5011-5487	-	EF201817	4.00E-11	8.70E-18	50-520	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB010547597.1	4715	5625	8.96E-115	UXX19195.1	375	-	64.6	305	105	3	141	444	UXX19195.1 acc|GENBANK|UXX19195.1|GENBANK|ON408139|nucleocapsid protein [Sara tick phlebovirus] acc=UXX19195.1 taxid=2789412	
ABJB010703762	n.s.	(Ixodes scapularis)	2-3664	-	AY074804	0	6.90E-99	6827-10417	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010703762.1	4	3664	0	UXX19018.1	1806	-	70.7	1221	356	2	728	1948	UXX19018.1 acc|GENBANK|UXX19018.1|GENBANK|ON408172|polymerase [Tahe rhabdovirus 3] acc=UXX19018.1 taxid=2983976	
ABJB010725326	n.s.	(Ixodes scapularis)	3239-4489	-	EF612701	3.00E-52	4.50E-88	118-1302	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010725326.1	3208	4501	2.40E-110	UXX19015.1	362	-	42.5	431	243	2	13	439	UXX19015.1 acc|GENBANK|UXX19015.1|GENBANK|ON408172|nucleoprotein [Tahe rhabdovirus 3] acc=UXX19015.1 taxid=2983976	
ABJB010759113	n.s.	Blacklegged tick	1728-7719	-	AY074803	0	7.80E-238	4832-10690	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010759113.1	1259	7857	0	UXX19018.1	3152	-	68.4	2202	691	3	0	2200	UXX19018.1 acc|GENBANK|UXX19018.1|GENBANK|ON408172|polymerase [Tahe rhabdovirus 3] acc=UXX19018.1 taxid=2983976	
ABJB010759113	n.s.	(Ixodes scapularis)	8220-9458	-	EF612701	1.00E-55	8.10E-74	142-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB010759113.1	8192	9479	2.32E-148	UXX19015.1	472	-	54.2	430	196	1	9	439	UXX19015.1 acc|GENBANK|UXX19015.1|GENBANK|ON408172|nucleoprotein [Tahe rhabdovirus 3] acc=UXX19015.1 taxid=2983976	
ABJB010794785	n.s.	Blacklegged tick	7898-9823	-	FJ861694	6.00E-80	8.10E-24	145-1416	NA	negative sense RNA	Quarjavirus	NA	NA	NA	ABJB010794785.1	9089	9880	9.72E-65	URY50687.1	233	-	44.3	264	144	2	24	285	URY50687.1 acc|GENBANK|URY50687.1|GENBANK|OM405134|HA protein [Quaranjavirus sp.] acc=URY50687.1 taxid=2809795	
ABJB010794785	n.s.	Blacklegged tick	7898-9823	-	FJ861694	6.00E-80	8.10E-24	145-1416	NA	negative sense RNA	Quarjavirus	NA	NA	NA	ABJB010794785.1	7821	8416	3.60E-71	UAJ23567.1	251	-	61.3	199	76	1	258	457	UAJ23567.1 acc|GENBANK|UAJ23567.1|GENBANK|MZ502306|HA [Granville quaranjavirus] acc=UAJ23567.1 taxid=2875329	
ABJB011017495	n.s.	(Ixodes scapularis)	309-881	-	AF504294	6.00E-18	8.50E-09	923-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB011017495.1	239	1268	2.06E-142	AII01798.1	419	-	58.9	343	141	0	181	524	AII01798.1 acc|GENBANK|AII01798.1|GENBANK|KJ746878|N protein [South Bay virus] acc=AII01798.1 taxid=1526514	
ABQO010047515	n.s.	(Macropus eugenii)	2130-2437	-	FJ743676	6.00E-14	1.30E-23	1214-1531	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010047515.1	2072	2437	1.19E-15	QNC49530.1	85.1	-	41.6	125	70	1	248	373	QNC49530.1 acc|GENBANK|QNC49530.1|NEIGHBOR|MT680245|nucleoprotein [Bundibugyo ebolavirus] acc=QNC49530.1 taxid=565995	
ABQO010048551	n.s.	(Macropus eugenii)	2831-3489	+	FJ217161	4.00E-30	1.20E-46	635-1231	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010048551.1	2830	3489	9.94E-36	AYP10275.1	149	+	39.9	233	126	3	21	254	AYP10275.1 acc|GENBANK|AYP10275.1|GENBANK|MK088530|nucleoprotein [Reston ebolavirus] acc=AYP10275.1 taxid=186539	
ABQO010059570	n.s.	(Macropus eugenii)	4449-5075	-	U22967	3.00E-25	3.40E-09	783-1532	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010059570.1	4402	5131	5.56E-32	QKE54950.1	136	-	36.2	287	135	7	144	427	QKE54950.1 acc|GENBANK|QKE54950.1|GENBANK|MT138302|replication protein [Parvoviridae sp.] acc=QKE54950.1 taxid=1940570	
ABQO010065506	n.s.	(Macropus eugenii)	1048-2591	-	EU498687	2.00E-57	1.20E-50	2923-4440	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010065506.1	1062	2876	1.37E-97	YP_009186841.1	325	-	33.1	626	379	13	80	687	YP_009186841.1 acc|REFSEQ|YP_009186841.1|REFSEQ|NC_028650|VP1 [Rat bufavirus SY-2015] acc=YP_009186841.1 taxid=1763507	
ABQO010091390	n.s.	(Macropus eugenii)	1491-2329	-	U48704	2.00E-61	1.80E-25	3604-4410	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010091390.1	1529	2432	3.24E-74	AZP54392.1	258	-	48.5	303	139	5	435	723	AZP54392.1 acc|GENBANK|AZP54392.1|GENBANK|MK026553|capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1 taxid=2497568	
ABQO010193462	n.s.	(Macropus eugenii)	47-1429	-	AY390557	3.00E-54	6.30E-64	3055-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010193462.1	43	1577	2.17E-86	UMO75517.1	285	-	33.8	523	313	10	228	730	UMO75517.1 acc|GENBANK|UMO75517.1|GENBANK|OM451142|VP1 [Hedgehog bufavirus] acc=UMO75517.1 taxid=2917320	
ABQO010212046	n.s.	(Macropus eugenii)	2720-3151	+	FJ217162	2.00E-22	3.70E-32	911-1396	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010212046.1	2445	3151	8.04E-28	QAT98503.1	124	+	37	254	142	4	55	309	QAT98503.1 acc|GENBANK|QAT98503.1|NEIGHBOR|MK340750|nucleoprotein [Bombali ebolavirus] acc=QAT98503.1 taxid=2010960	
ABQO010223025	n.s.	(Macropus eugenii)	1997-2783	-	FJ621583	1.00E-16	3.70E-24	659-1636	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010223025.1	1996	2893	1.69E-32	ALL26372.1	139	-	34.6	373	163	10	23	389	ALL26372.1 acc|GENBANK|ALL26372.1|NEIGHBOR|KT878488|major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1 taxid=186540	
ABQO010277157	n.s.	Tammar wallaby	693-1503	-	FJ621584	1.00E-43	4.70E-71	680-1498	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010277157.1	372	1657	1.60E-60	YP_010087183.1	220	-	36.6	434	268	5	2	434	YP_010087183.1 acc|REFSEQ|YP_010087183.1|REFSEQ|NC_055510|nucleocapsid protein [Dianlovirus menglaense] acc=YP_010087183.1 taxid=3052181	
ABQO010309592	n.s.	(Macropus eugenii)	8756-9234	-	AY058895	9.00E-33	1.20E-46	914-1411	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010309592.1	8755	9234	1.01E-28	AYP10275.1	128	-	49.7	167	75	4	148	314	AYP10275.1 acc|GENBANK|AYP10275.1|GENBANK|MK088530|nucleoprotein [Reston ebolavirus] acc=AYP10275.1 taxid=186539	
ABQO010318785	n.s.	Tammar wallaby (28)	1-1818	-	FJ822038	8.00E-79	3.00E-60	1278-3036	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010318785.1	927	1818	5.32E-103	YP_009241376.1	327	-	57.4	298	103	4	350	625	YP_009241376.1 acc|REFSEQ|YP_009241376.1|REFSEQ|NC_029797|nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1 taxid=1756191	
ABQO010318785	n.s.	Tammar wallaby (28)	1-1818	-	FJ822038	8.00E-79	3.00E-60	1278-3036	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010318785.1	0	753	6.37E-53	UPH39293.1	195	-	41.5	265	130	6	9	263	UPH39293.1 acc|GENBANK|UPH39293.1|GENBANK|OL692339|VP1 protein [Protoparvovirus sp.] acc=UPH39293.1 taxid=1987106	
ABQO010334457	n.s.	(Macropus eugenii)	1750-4391	+	AY684869	5.00E-85	4.50E-68	1719-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010334457.1	2401	4487	1.29E-112	WEA82908.1	376	+	34	732	412	17	9	707	WEA82908.1 acc|GENBANK|WEA82908.1|GENBANK|OP879719|VP1 [Protoparvovirus carnivoran3] acc=WEA82908.1 taxid=3052709	
ABQO010334457	n.s.	(Macropus eugenii)	1750-4391	+	AY684869	5.00E-85	4.50E-68	1719-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010334457.1	1764	2204	7.81E-14	QXQ21750.1	79.3	+	38.3	149	70	4	512	641	QXQ21750.1 acc|GENBANK|QXQ21750.1|GENBANK|MW814911|NS1 [Equine protoparvovirus] acc=QXQ21750.1 taxid=2860269	
ABQO010378232	n.s.	(Macropus eugenii)	12-561	-	FJ621585	7.00E-09	5.20E-14	3852-4642	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010378232.1	11	618	2.91E-23	AYP10276.1	102	-	35.3	207	129	2	93	300	AYP10276.1 acc|GENBANK|AYP10276.1|GENBANK|MK088530|polymerase complex protein [Reston ebolavirus] acc=AYP10276.1 taxid=186539	
ABQO010381849	n.s.	(Macropus eugenii)	1091-1858	-	AY729654	2.00E-43	2.40E-60	875-1645	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010381849.1	1063	2003	1.18E-50	AYP10275.1	195	-	38.2	319	191	2	82	401	AYP10275.1 acc|GENBANK|AYP10275.1|GENBANK|MK088530|nucleoprotein [Reston ebolavirus] acc=AYP10275.1 taxid=186539	
ABQO010444976	n.s.	(Macropus eugenii)	2723-3869	-	AY390557	4.00E-62	7.90E-20	1410-2673	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010444976.1	1266	3037	7.00E-83	YP_009130651.1	290	-	34	615	366	13	9	608	YP_009130651.1 acc|REFSEQ|YP_009130651.1|REFSEQ|NC_026815|capsid protein VP1 [Protoparvovirus eulipotyphla1] acc=YP_009130651.1 taxid=3052712	
ABQO010444976	n.s.	(Macropus eugenii)	2723-3869	-	AY390557	4.00E-62	7.90E-20	1410-2673	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010444976.1	3404	3895	6.04E-48	YP_009241376.1	185	-	59.4	165	62	2	427	588	YP_009241376.1 acc|REFSEQ|YP_009241376.1|REFSEQ|NC_029797|nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1 taxid=1756191	
ABQO010478145	n.s.	(Macropus eugenii)	77-684	+	FJ968794	8.00E-21	2.40E-29	911-1621	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010478145.1	22	684	7.71E-29	ALL26372.1	127	+	37.3	260	119	6	129	384	ALL26372.1 acc|GENBANK|ALL26372.1|NEIGHBOR|KT878488|major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1 taxid=186540	
ABQO010481652	n.s.	(Macropus eugenii)	712-1284	+	AY530611	7.00E-40	1.10E-17	3682-4242	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010481652.1	711	1305	8.98E-55	AZP54392.1	196	-	53.5	202	90	1	478	680	AZP54392.1 acc|GENBANK|AZP54392.1|GENBANK|MK026553|capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1 taxid=2497568	
ABQO010519946	n.s.	(Macropus eugenii)	60-2355	+	AB437434	9.00E-84	7.60E-70	2431-4527	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO010519946.1	241	2349	3.55E-130	YP_009130651.1	408	+	35	732	430	15	9	724	YP_009130651.1 acc|REFSEQ|YP_009130651.1|REFSEQ|NC_026815|capsid protein VP1 [Protoparvovirus eulipotyphla1] acc=YP_009130651.1 taxid=3052712	
ABQO010585938	n.s.	(Macropus eugenii)	1-333	+	GQ368252	3.00E-17	2.70E-22	336-668	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010585938.1	0	345	3.78E-22	ACU30841.1	93.2	+	36.5	115	73	0	5	120	ACU30841.1 acc|GENBANK|ACU30841.1|NEIGHBOR|GQ368252|Rep78 [Avian adeno-associated virus] acc=ACU30841.1 taxid=341671	
ABQO010585939	n.s.	Tammar wallaby (11)	126-4049	+	AY388617	0	5.90E-123	330-4386	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010585939.1	1878	4034	6.48E-284	AZP54392.1	852	+	58.5	733	281	7	0	724	AZP54392.1 acc|GENBANK|AZP54392.1|GENBANK|MK026553|capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1 taxid=2497568	
ABQO010585939	n.s.	Tammar wallaby (11)	126-4049	+	AY388617	0	5.90E-123	330-4386	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO010585939.1	149	1597	1.29E-137	YP_068408.1	447	+	51.6	490	216	8	3	480	YP_068408.1 acc|REFSEQ|YP_068408.1|REFSEQ|NC_006152|DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1 taxid=82300	
ABQO010766573	n.s.	(Macropus eugenii)	360-1038	+	FJ217162	2.00E-44	2.10E-67	938-1624	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010766573.1	34	1054	1.13E-59	QAT98503.1	210	+	40.9	345	198	4	45	390	QAT98503.1 acc|GENBANK|QAT98503.1|NEIGHBOR|MK340750|nucleoprotein [Bombali ebolavirus] acc=QAT98503.1 taxid=2010960	
ABQO010804673	n.s.	(Macropus eugenii)	293-1000	-	FJ750955	1.00E-56	1.60E-85	911-1624	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO010804673.1	248	1087	2.20E-66	AAA46563.1	236	-	48.1	285	143	2	97	382	AAA46563.1 acc|GENBANK|AAA46563.1|GENBANK|M72714|nucleoprotein [Orthomarburgvirus marburgense] acc=AAA46563.1 taxid=3052505	
