eve_id	confidence	eve_score	suggests	because	locus	start	stop	length	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABRP01_EVE212	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01304058.1_911-1282:-	911	1,282	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE213	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01304663.1_5294-5665:-	5,294	5,665	371	1.89E-72	92.7	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Rhinolophus ferrumequinum retrovirus] acc=AFA52560.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Bat gammaretrovirus	Chordata
ABRP01_EVE214	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01320613.1_2287-2658:+	2,287	2,658	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE215	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01320692.1_1475-1846:-	1,475	1,846	371	1.89E-72	92.7	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Rhinolophus ferrumequinum retrovirus] acc=AFA52560.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Bat gammaretrovirus	Chordata
ABRP01_EVE216	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01325380.1_1654-2025:+	1,654	2,025	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE217	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01327077.1_1144-1515:-	1,144	1,515	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE218	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01327329.1_326-697:-	326	697	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE219	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01334642.1_807-1178:-	807	1,178	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE220	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01337502.1_1071-1442:+	1,071	1,442	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE221	low	56	viral (13), retro (5), non-viral (3), maybe-viral (2)	envelope (7), VDB (6), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01342627.1_1271-1642:-	1,271	1,642	371	6.30E-74	94.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE222	low	55	viral (12), retro (6), maybe-viral (2), non-viral (2)	VDB (7), retro (6), envelope (5), annotated protein of Eukaryota (2), uncharacterized protein (2)	ABRP01018116.1_6346-6846:+	6,346	6,846	500	2.27E-49	52.7	endogenous retrovirus group PABLB member 1 Env polyprotein-like isoform X1 n=4 Tax=Eutheria  RepID=UPI000941D07D	envelope protein syncytin-Car1 [Canis lupus familiaris] acc=AEX32761.1	NA	Chordata
ABRP01_EVE223	low	55	viral (11), retro (4), non-viral (3), maybe-viral (2)	envelope (6), VDB (5), retro (4), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01082957.1_118656-119027:+	118,656	119,027	371	2.46E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE224	low	55	viral (10), retro (4), maybe-viral (3), non-viral (3)	envelope (8), retro (4), annotated protein of Eukaryota (3), uncharacterized protein (3), VDB (2)	ABRP01097825.1_2376-2693:+	2,376	2,693	317	4.82E-42	67.9	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE226	low	55	viral (11), retro (5), maybe-viral (3), non-viral (2)	VDB (6), envelope (5), retro (5), uncharacterized protein (3), annotated protein of Eukaryota (2)	ABRP01276660.1_478-969:+	478	969	491	2.07E-43	51.3	endogenous retrovirus group PABLB member 1 Env polyprotein-like isoform X1 n=4 Tax=Eutheria  RepID=UPI000941D07D	envelope protein syncytin-Car1 [Canis lupus familiaris] acc=AEX32761.1	NA	Chordata
ABRP01_EVE227	low	55	viral (10), retro (5), maybe-viral (3), non-viral (2)	envelope (8), retro (5), uncharacterized protein (3), annotated protein of Eukaryota (2), VDB (2)	ABRP01299634.1_191-472:+	191	472	281	1.41E-38	68.8	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE228	low	55	viral (11), retro (4), non-viral (3), maybe-viral (2)	envelope (7), retro (4), VDB (4), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01302292.1_4147-4518:+	4,147	4,518	371	1.75E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE229	low	55	viral (11), retro (5), maybe-viral (2), non-viral (2)	envelope (7), retro (5), VDB (4), annotated protein of Eukaryota (2), polyprotein protein (1), uncharacterized protein (1)	ABRP01303569.1_859-1296:-	859	1,296	437	4.86E-87	91.1	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope protein [Gammaretrovirus sp.] acc=UUG66871.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Gammaretrovirus sp.	Chordata
ABRP01_EVE230	low	54	viral (10), non-viral (4), retro (4), maybe-viral (2)	envelope (8), annotated protein of Eukaryota (4), retro (4), uncharacterized protein (2), VDB (2)	ABRP01185155.1_10234-10539:-	10,234	10,539	305	8.04E-44	72.4	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE231	low	54	viral (12), retro (5), non-viral (3), maybe-viral (2)	VDB (7), envelope (5), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01206174.1_61180-61545:-	61,180	61,545	365	3.51E-67	88.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE232	low	54	viral (11), retro (6), non-viral (2), maybe-viral (1)	envelope (7), retro (6), VDB (4), annotated protein of Eukaryota (2), uncharacterized protein (1)	ABRP01230052.1_6761-7198:+	6,761	7,198	437	1.74E-87	92.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope protein [Gammaretrovirus sp.] acc=UUG66871.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Gammaretrovirus sp.	Chordata
ABRP01_EVE233	low	54	viral (12), retro (5), non-viral (3), maybe-viral (2)	envelope (7), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01233804.1_6663-7034:+	6,663	7,034	371	2.46E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE234	low	54	viral (10), retro (4), maybe-viral (3), non-viral (3)	envelope (8), retro (4), annotated protein of Eukaryota (3), uncharacterized protein (3), VDB (2)	ABRP01306644.1_148-456:+	148	456	308	3.11E-43	67.6	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE235	low	54	viral (12), retro (5), non-viral (3), maybe-viral (2)	VDB (7), envelope (5), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01307925.1_5180-5545:+	5,180	5,545	365	3.51E-67	88.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE236	low	54	viral (11), retro (5), maybe-viral (3), non-viral (2)	VDB (6), envelope (5), retro (4), uncharacterized protein (3), annotated protein of Eukaryota (2), reverse transcriptase (1)	ABRP01311286.1_1242-1778:+	1,242	1,778	536	4.05E-38	48.2	endogenous retrovirus group PABLB member 1 Env polyprotein-like isoform X1 n=2 Tax=Sciurus carolinensis  RepID=UPI001FB341DA	envelope protein syncytin-rum1 [Antidorcas marsupialis] acc=AGE09547.1	NA	Chordata
ABRP01_EVE237	low	54	viral (12), retro (5), non-viral (3), maybe-viral (2)	VDB (7), envelope (5), retro (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01312298.1_3720-4085:+	3,720	4,085	365	3.06E-69	91	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE238	low	54	viral (12), retro (5), non-viral (3), maybe-viral (2)	envelope (7), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01315148.1_702-1073:-	702	1,073	371	1.35E-72	92.7	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE239	low	54	viral (11), retro (7), maybe-viral (3), non-viral (1)	envelope (9), retro (7), uncharacterized protein (3), VDB (2), annotated protein of Eukaryota (1)	ABRP01323341.1_1461-1838:+	1,461	1,838	377	2.09E-55	69	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE240	low	54	viral (12), retro (5), non-viral (4), maybe-viral (1)	envelope (6), VDB (6), retro (5), annotated protein of Eukaryota (4), hypothetical protein (1)	ABRP01325248.1_1741-2112:+	1,741	2,112	371	4.03E-71	91.1	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE241	low	54	viral (11), retro (6), maybe-viral (2), non-viral (2)	VDB (6), envelope (5), retro (5), annotated protein of Eukaryota (2), uncharacterized protein (2), reverse transcriptase (1)	ABRP01329275.1_382-639:-	382	639	257	7.82E-27	64	Envelope glycoprotein n=2 Tax=Equus caballus  RepID=A0A9L0R5W5_HORSE	envelope protein syncytin-rum1 [Antidorcas marsupialis] acc=AGE09547.1	NA	Chordata
ABRP01_EVE242	low	53	viral (10), retro (5), maybe-viral (4), non-viral (2)	envelope (8), retro (5), uncharacterized protein (4), annotated protein of Eukaryota (2), VDB (2)	ABRP01018878.1_8998-9333:+	8,998	9,333	335	6.16E-47	70.7	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE243	low	53	viral (10), retro (8), maybe-viral (2)	retro (8), envelope (7), VDB (3), uncharacterized protein (2)	ABRP01104742.1_8232-8882:-	8,232	8,882	650	1.23E-100	72.1	Envelope polyprotein n=5 Tax=root  RepID=A0A5F4WCN2_CALJA	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE244	low	53	viral (10), retro (6), maybe-viral (3), non-viral (2)	envelope (8), retro (6), uncharacterized protein (3), annotated protein of Eukaryota (2), VDB (2)	ABRP01196084.1_1951-2283:-	1,951	2,283	332	7.82E-50	73.5	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE245	low	53	viral (10), retro (6), maybe-viral (2), non-viral (2)	envelope (8), retro (6), annotated protein of Eukaryota (2), uncharacterized protein (2), VDB (2)	ABRP01294157.1_3811-4173:+	3,811	4,173	362	3.80E-54	72.6	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE246	low	53	viral (10), retro (6), maybe-viral (2), non-viral (2)	envelope (8), retro (6), annotated protein of Eukaryota (2), uncharacterized protein (2), VDB (2)	ABRP01334546.1_84-442:+	84	442	358	2.92E-49	71.1	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE247	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (6), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01231098.1_17729-18100:-	17,729	18,100	371	4.85E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE248	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (6), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01235963.1_26019-26390:-	26,019	26,390	371	4.85E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE249	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (7), retro (5), VDB (4), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01273700.1_594-1106:+	594	1,106	512	4.52E-84	89.7	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope protein [Gammaretrovirus sp.] acc=UUG66871.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Gammaretrovirus sp.	Chordata
ABRP01_EVE250	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (6), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01294315.1_5113-5484:+	5,113	5,484	371	4.85E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE251	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (7), retro (5), VDB (4), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01306777.1_762-1133:-	762	1,133	371	3.45E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE252	low	52	viral (11), retro (5), non-viral (3), maybe-viral (2)	envelope (7), retro (5), VDB (4), annotated protein of Eukaryota (3), polyprotein protein (1), uncharacterized protein (1)	ABRP01309389.1_3503-3949:+	3,503	3,949	446	4.50E-89	93.8	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope protein [Gammaretrovirus sp.] acc=UUG66871.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Gammaretrovirus sp.	Chordata
ABRP01_EVE253	low	51	viral (10), retro (5), non-viral (4), maybe-viral (2)	envelope (8), retro (5), annotated protein of Eukaryota (4), uncharacterized protein (2), VDB (2)	ABRP01242727.1_624-944:+	624	944	320	9.83E-44	67	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
ABRP01_EVE255	low	51	viral (10), non-viral (4), maybe-viral (3), retro (3)	VDB (6), annotated protein of Eukaryota (4), envelope (4), retro (3), uncharacterized protein (2), hypothetical protein (1)	ABRP01327337.1_1038-1410:-	1,038	1,410	372	2.94E-75	98.4	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE257	low	50	viral (10), retro (5), non-viral (3), maybe-viral (2)	envelope (5), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01186860.1_1153-1524:-	1,153	1,524	371	2.46E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE258	low	50	viral (10), retro (5), non-viral (3), maybe-viral (2)	envelope (5), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01209882.1_151-522:+	151	522	371	2.46E-73	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE259	low	50	viral (10), retro (5), non-viral (3), maybe-viral (2)	envelope (5), retro (5), VDB (5), annotated protein of Eukaryota (3), hypothetical protein (1), polyprotein protein (1)	ABRP01328726.1_1135-1506:-	1,135	1,506	371	1.35E-72	93.5	Endogenous retrovirus group S71 member 1 Env polyprotein-like n=1 Tax=Pteropus vampyrus  RepID=A0A6P6C5U2_PTEVA	envelope glycoprotein [Mus dunni endogenous virus] acc=AAC31806.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Gammaretrovirus;s__Murine leukemia virus	Chordata
ABRP01_EVE260	low	49	viral (9), retro (8), maybe-viral (3)	retro (8), envelope (7), uncharacterized protein (3), VDB (2)	ABRP01307773.1_2226-2732:+	2,226	2,732	506	6.14E-83	72.8	envelope protein syncytin-Mar1 [Ictidomys tridecemlineatus] acc=AHZ59674.1	env protein [Human endogenous retrovirus HCML-ARV] acc=AAP06678.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Human endogenous retrovirus	Chordata
